humans,rumor_reach_frac,exposed_frac,final_rumor_frac,final_correction_frac,peak_rumor_active,time_to_peak,skeptic_fraction,p_share,bot_fraction,factcheck_fraction,initial_spreaders,run,cascade
300,0.05333333333333334,0.21,0.03666666666666667,0.056666666666666664,6,1,0.0,0.15,0.0,0.0,3,7,False
300,0.08,0.27,0.05,0.12666666666666668,7,5,0.0,0.15,0.0,0.0,3,8,False
300,0.056666666666666664,0.32666666666666666,0.02666666666666667,0.11333333333333333,8,2,0.0,0.15,0.0,0.0,3,9,False
300,0.07,0.29,0.043333333333333335,0.10333333333333333,8,7,0.0,0.15,0.0,0.0,3,10,False
300,0.13,0.4633333333333333,0.11,0.08,10,12,0.0,0.15,0.0,0.0,3,11,False
300,0.08333333333333333,0.36,0.06333333333333334,0.07,9,4,0.0,0.15,0.0,0.0,3,12,False
300,0.17333333333333334,0.58,0.13,0.13666666666666666,15,9,0.0,0.15,0.0,0.0,3,13,False
300,0.13,0.5233333333333333,0.09,0.13,11,6,0.0,0.15,0.0,0.0,3,14,False
300,0.22333333333333333,0.7466666666666667,0.16666666666666666,0.15333333333333332,22,9,0.0,0.15,0.0,0.0,3,15,True
300,0.016666666666666666,0.04666666666666667,0.016666666666666666,0.0,5,2,0.0,0.15,0.0,0.0,3,16,False
300,0.09666666666666666,0.33,0.06666666666666667,0.10333333333333333,12,9,0.0,0.15,0.0,0.0,3,17,False
300,0.16,0.5866666666666667,0.10333333333333333,0.19333333333333333,21,5,0.0,0.15,0.0,0.0,3,18,False
300,0.023333333333333334,0.11333333333333333,0.013333333333333334,0.043333333333333335,5,2,0.0,0.15,0.0,0.0,3,19,False
300,0.13666666666666666,0.56,0.08,0.20333333333333334,23,4,0.0,0.15,0.0,0.0,3,20,False
300,0.01,0.03,0.01,0.0033333333333333335,3,0,0.0,0.15,0.0,0.0,3,21,False
300,0.22333333333333333,0.6933333333333334,0.10666666666666667,0.30666666666666664,20,11,0.0,0.15,0.0,0.0,3,22,True
300,0.22666666666666666,0.6933333333333334,0.14333333333333334,0.24333333333333335,26,8,0.0,0.15,0.0,0.0,3,23,True
300,0.14,0.49,0.08333333333333333,0.22333333333333333,15,7,0.0,0.15,0.0,0.0,3,24,False
300,0.13,0.53,0.09,0.17,10,12,0.0,0.15,0.0,0.0,3,25,False
300,0.24666666666666667,0.6933333333333334,0.15666666666666668,0.25,30,5,0.0,0.15,0.0,0.0,3,26,True
300,0.08,0.30666666666666664,0.05333333333333334,0.09333333333333334,10,5,0.0,0.15,0.0,0.0,3,27,False
300,0.06666666666666667,0.3466666666666667,0.02666666666666667,0.15666666666666668,12,5,0.0,0.15,0.0,0.0,3,28,False
300,0.11333333333333333,0.5,0.06666666666666667,0.20333333333333334,20,5,0.0,0.15,0.0,0.0,3,29,False
300,0.33666666666666667,0.8733333333333333,0.20666666666666667,0.32,33,9,0.0,0.2,0.0,0.0,3,0,True
300,0.18,0.58,0.11333333333333333,0.22333333333333333,20,7,0.0,0.2,0.0,0.0,3,1,False
300,0.21,0.6633333333333333,0.08,0.36,26,5,0.0,0.2,0.0,0.0,3,2,True
300,0.19,0.63,0.12666666666666668,0.20333333333333334,21,6,0.0,0.2,0.0,0.0,3,3,False
300,0.16,0.56,0.11,0.21666666666666667,12,11,0.0,0.2,0.0,0.0,3,4,False
300,0.22666666666666666,0.72,0.18,0.16333333333333333,30,16,0.0,0.2,0.0,0.0,3,5,True
300,0.09333333333333334,0.33666666666666667,0.056666666666666664,0.14666666666666667,12,7,0.0,0.2,0.0,0.0,3,6,False
300,0.04,0.16333333333333333,0.02,0.06,6,1,0.0,0.2,0.0,0.0,3,7,False
300,0.14,0.4033333333333333,0.07,0.19333333333333333,16,7,0.0,0.2,0.0,0.0,3,8,False
300,0.20666666666666667,0.67,0.14,0.23333333333333334,26,6,0.0,0.2,0.0,0.0,3,9,True
300,0.08666666666666667,0.2866666666666667,0.056666666666666664,0.10333333333333333,9,7,0.0,0.2,0.0,0.0,3,10,False
300,0.12333333333333334,0.4266666666666667,0.06333333333333334,0.19666666666666666,11,5,0.0,0.2,0.0,0.0,3,11,False
300,0.19,0.63,0.09333333333333334,0.2733333333333333,24,8,0.0,0.2,0.0,0.0,3,12,False
300,0.21333333333333335,0.5933333333333334,0.15,0.23666666666666666,19,4,0.0,0.2,0.0,0.0,3,13,True
300,0.24,0.69,0.20333333333333334,0.11,26,13,0.0,0.2,0.0,0.0,3,14,True
300,0.21666666666666667,0.7033333333333334,0.11666666666666667,0.29333333333333333,39,8,0.0,0.2,0.0,0.0,3,15,True
300,0.25666666666666665,0.71,0.16333333333333333,0.2866666666666667,33,8,0.0,0.2,0.0,0.0,3,16,True
300,0.19333333333333333,0.59,0.12333333333333334,0.23666666666666666,28,6,0.0,0.2,0.0,0.0,3,17,False
300,0.19333333333333333,0.66,0.1,0.34,27,5,0.0,0.2,0.0,0.0,3,18,False
300,0.023333333333333334,0.1,0.016666666666666666,0.02,7,2,0.0,0.2,0.0,0.0,3,19,False
300,0.17333333333333334,0.59,0.11333333333333333,0.19,26,5,0.0,0.2,0.0,0.0,3,20,False
300,0.016666666666666666,0.04,0.013333333333333334,0.006666666666666667,4,2,0.0,0.2,0.0,0.0,3,21,False
300,0.23,0.6933333333333334,0.08,0.4033333333333333,32,7,0.0,0.2,0.0,0.0,3,22,True
300,0.36,0.8066666666666666,0.20333333333333334,0.3933333333333333,51,6,0.0,0.2,0.0,0.0,3,23,True
300,0.18333333333333332,0.5833333333333334,0.11333333333333333,0.22,15,3,0.0,0.2,0.0,0.0,3,24,False
300,0.2966666666666667,0.7966666666666666,0.15,0.39666666666666667,37,7,0.0,0.2,0.0,0.0,3,25,True
