humans,rumor_reach_frac,exposed_frac,final_rumor_frac,final_correction_frac,peak_rumor_active,time_to_peak,network,p_share,bot_fraction,factcheck_fraction,initial_spreaders,run,cascade
300,0.01,0.03,0.006666666666666667,0.006666666666666667,3,0,scale_free,0.1,0.0,0.0,3,24,False
300,0.013333333333333334,0.043333333333333335,0.006666666666666667,0.013333333333333334,4,1,scale_free,0.1,0.0,0.0,3,25,False
300,0.016666666666666666,0.08666666666666667,0.006666666666666667,0.02,5,1,scale_free,0.1,0.0,0.0,3,26,False
300,0.07,0.4,0.04,0.12333333333333334,8,6,scale_free,0.1,0.0,0.0,3,27,False
300,0.03666666666666667,0.24666666666666667,0.02666666666666667,0.07333333333333333,7,6,scale_free,0.1,0.0,0.0,3,28,False
300,0.016666666666666666,0.06,0.013333333333333334,0.006666666666666667,4,2,scale_free,0.1,0.0,0.0,3,29,False
300,0.08,0.36666666666666664,0.05,0.09666666666666666,13,5,scale_free,0.125,0.0,0.0,3,0,False
300,0.023333333333333334,0.08333333333333333,0.016666666666666666,0.043333333333333335,5,1,scale_free,0.125,0.0,0.0,3,1,False
300,0.05333333333333334,0.31,0.02666666666666667,0.09,6,9,scale_free,0.125,0.0,0.0,3,2,False
300,0.04666666666666667,0.2633333333333333,0.023333333333333334,0.09666666666666666,7,5,scale_free,0.125,0.0,0.0,3,3,False
300,0.023333333333333334,0.12333333333333334,0.01,0.04,4,2,scale_free,0.125,0.0,0.0,3,4,False
300,0.013333333333333334,0.05,0.013333333333333334,0.0033333333333333335,4,2,scale_free,0.125,0.0,0.0,3,5,False
300,0.11,0.54,0.056666666666666664,0.20333333333333334,13,10,scale_free,0.125,0.0,0.0,3,6,False
300,0.01,0.023333333333333334,0.01,0.0,3,0,scale_free,0.125,0.0,0.0,3,7,False
300,0.04666666666666667,0.26666666666666666,0.023333333333333334,0.11333333333333333,6,2,scale_free,0.125,0.0,0.0,3,8,False
300,0.023333333333333334,0.09,0.01,0.03666666666666667,5,2,scale_free,0.125,0.0,0.0,3,9,False
300,0.05333333333333334,0.27666666666666667,0.03333333333333333,0.08333333333333333,9,3,scale_free,0.125,0.0,0.0,3,10,False
